a,b,x,y,z,w,Previous,Current
13.745,-4.363,0,0,-0.816,0.578,15,10
11.368,-3.464,0,0,0.984,0.181,15,10
13.745,-4.363,0,0,-0.816,0.578,15,9
11.368,-3.464,0,0,0.984,0.181,15,9
13.745,-4.363,0,0,-0.816,0.578,15,11
11.368,-3.464,0,0,0.984,0.181,15,11
13.745,-4.363,0,0,-0.816,0.578,15,12
11.368,-3.464,0,0,0.984,0.181,15,12
13.745,-4.363,0,0,-0.816,0.578,14,10
11.368,-3.464,0,0,0.984,0.181,14,10
13.745,-4.363,0,0,-0.816,0.578,14,9
11.368,-3.464,0,0,0.984,0.181,14,9
13.745,-4.363,0,0,-0.816,0.578,14,11
11.368,-3.464,0,0,0.984,0.181,14,11
13.745,-4.363,0,0,-0.816,0.578,14,12
11.368,-3.464,0,0,0.984,0.181,14,12
11.368,-3.454,0,0,-0.826,0.564,10,14
13.922,-4.429,0,0,-0.161,0.987,10,14
11.368,-3.454,0,0,-0.826,0.564,10,15
13.922,-4.429,0,0,-0.161,0.987,10,15
11.368,-3.454,0,0,-0.826,0.564,9,14
13.922,-4.429,0,0,-0.161,0.987,9,14
11.368,-3.454,0,0,-0.826,0.564,9,15
13.922,-4.429,0,0,-0.161,0.987,9,15
11.368,-3.454,0,0,-0.826,0.564,11,15
13.922,-4.429,0,0,-0.161,0.987,11,15
11.368,-3.454,0,0,-0.826,0.564,11,14
13.922,-4.429,0,0,-0.161,0.987,11,14
11.368,-3.454,0,0,-0.826,0.564,12,14
13.922,-4.429,0,0,-0.161,0.987,12,14
11.368,-3.454,0,0,-0.826,0.564,12,15
13.922,-4.429,0,0,-0.161,0.987,12,15
1.648,0.710 ,0,0,-0.819,0.574,1,5
6.308,-1.892,0,0,-0.182,0.983,1,5
1.648,0.710 ,0,0,-0.819,0.574,1,6
6.308,-1.892,0,0,-0.182,0.983,1,6
1.648,0.710 ,0,0,-0.819,0.574,1,7
6.308,-1.892,0,0,-0.182,0.983,1,7
1.648,0.710 ,0,0,-0.819,0.574,1,8
6.308,-1.892,0,0,-0.182,0.983,1,8
1.648,0.710 ,0,0,-0.819,0.574,2,5
6.308,-1.892,0,0,-0.182,0.983,2,5
1.648,0.710 ,0,0,-0.819,0.574,2,6
6.308,-1.892,0,0,-0.182,0.983,2,6
1.648,0.710 ,0,0,-0.819,0.574,2,7
6.308,-1.892,0,0,-0.182,0.983,2,7
1.648,0.710 ,0,0,-0.819,0.574,2,8
6.308,-1.892,0,0,-0.182,0.983,2,8
1.648,0.710 ,0,0,-0.819,0.574,3,5
6.308,-1.892,0,0,-0.182,0.983,3,5
1.648,0.710 ,0,0,-0.819,0.574,3,6
6.308,-1.892,0,0,-0.182,0.983,3,6
1.648,0.710 ,0,0,-0.819,0.574,3,7
6.308,-1.892,0,0,-0.182,0.983,3,7
1.648,0.710 ,0,0,-0.819,0.574,3,8
6.308,-1.892,0,0,-0.182,0.983,3,8
1.648,0.710 ,0,0,-0.819,0.574,4,5
6.308,-1.892,0,0,-0.182,0.983,4,5
1.648,0.710 ,0,0,-0.819,0.574,4,6
6.308,-1.892,0,0,-0.182,0.983,4,6
1.648,0.710 ,0,0,-0.819,0.574,4,7
6.308,-1.892,0,0,-0.182,0.983,4,7
1.648,0.710 ,0,0,-0.819,0.574,4,8
6.308,-1.892,0,0,-0.182,0.983,4,8
6.456,-1.747,0,0,-0.830 ,0.557,5,1
1.648,0.710 ,0,0,0.982,0.189,5,1
6.456,-1.747,0,0,-0.830 ,0.557,5,2
1.648,0.710 ,0,0,0.982,0.189,5,2
6.456,-1.747,0,0,-0.830 ,0.557,5,3
1.648,0.710 ,0,0,0.982,0.189,5,3
6.456,-1.747,0,0,-0.830 ,0.557,5,4
1.648,0.710 ,0,0,0.982,0.189,5,4
6.456,-1.747,0,0,-0.830 ,0.557,6,1
1.648,0.710 ,0,0,0.982,0.189,6,1
6.456,-1.747,0,0,-0.830 ,0.557,6,2
1.648,0.710 ,0,0,0.982,0.189,6,2
6.456,-1.747,0,0,-0.830 ,0.557,6,3
1.648,0.710 ,0,0,0.982,0.189,6,3
6.456,-1.747,0,0,-0.830 ,0.557,6,4
1.648,0.710 ,0,0,0.982,0.189,6,4
6.456,-1.747,0,0,-0.830 ,0.557,7,1
1.648,0.710 ,0,0,0.982,0.189,7,1
6.456,-1.747,0,0,-0.830 ,0.557,7,2
1.648,0.710 ,0,0,0.982,0.189,7,2
6.456,-1.747,0,0,-0.830 ,0.557,7,3
1.648,0.710 ,0,0,0.982,0.189,7,3
6.456,-1.747,0,0,-0.830 ,0.557,7,4
1.648,0.710 ,0,0,0.982,0.189,7,4
6.456,-1.747,0,0,-0.830 ,0.557,8,1
1.648,0.710 ,0,0,0.982,0.189,8,1
6.456,-1.747,0,0,-0.830 ,0.557,8,2
1.648,0.710 ,0,0,0.982,0.189,8,2
6.456,-1.747,0,0,-0.830 ,0.557,8,3
1.648,0.710 ,0,0,0.982,0.189,8,3
6.456,-1.747,0,0,-0.830 ,0.557,8,4
1.648,0.710 ,0,0,0.982,0.189,8,4
